faq_id,policy_id,category,intent,question,answer,keywords,priority,escalation_required,risk_type,source,variant
FAQ008_V3,FAQ008,Orders,intent_008,"Please help me with this customer issue: Tracking says delivered, but the package is not here.","Check the delivery location, household members, and carrier tracking details first. If the parcel is still missing, contact human support for an investigation.",delivered missing package parcel investigation,High,Yes,order,Synthetic e-commerce customer support dataset,3
FAQ008_V4,FAQ008,Orders,intent_008,"Support question: Tracking says delivered, but the package is not here.","Check the delivery location, household members, and carrier tracking details first. If the parcel is still missing, contact human support for an investigation.",delivered missing package parcel investigation,High,Yes,order,Synthetic e-commerce customer support dataset,4
FAQ009_V1,FAQ009,Delivery,intent_009,How long does standard delivery take?,Standard delivery normally takes 3–5 business days after dispatch.,standard delivery shipping time days,Normal,No,delivery,Synthetic e-commerce customer support dataset,1
FAQ009_V2,FAQ009,Delivery,intent_009,What is the usual delivery time with normal shipping?,Standard delivery normally takes 3–5 business days after dispatch.,standard delivery shipping time days,Normal,No,delivery,Synthetic e-commerce customer support dataset,2
FAQ009_V3,FAQ009,Delivery,intent_009,Please help me with this customer issue: What is the usual delivery time with normal shipping?,Standard delivery normally takes 3–5 business days after dispatch.,standard delivery shipping time days,Normal,No,delivery,Synthetic e-commerce customer support dataset,3
FAQ009_V4,FAQ009,Delivery,intent_009,Support question: What is the usual delivery time with normal shipping?,Standard delivery normally takes 3–5 business days after dispatch.,standard delivery shipping time days,Normal,No,delivery,Synthetic e-commerce customer support dataset,4
FAQ010_V1,FAQ010,Delivery,intent_010,How long does express delivery take?,"Express delivery normally takes 1–2 business days after dispatch, subject to destination availability.",express delivery shipping time,Normal,No,delivery,Synthetic e-commerce customer support dataset,1
FAQ010_V2,FAQ010,Delivery,intent_010,How quickly should an express shipment arrive?,"Express delivery normally takes 1–2 business days after dispatch, subject to destination availability.",express delivery shipping time,Normal,No,delivery,Synthetic e-commerce customer support dataset,2
FAQ010_V3,FAQ010,Delivery,intent_010,Please help me with this customer issue: How quickly should an express shipment arrive?,"Express delivery normally takes 1–2 business days after dispatch, subject to destination availability.",express delivery shipping time,Normal,No,delivery,Synthetic e-commerce customer support dataset,3
FAQ010_V4,FAQ010,Delivery,intent_010,Support question: How quickly should an express shipment arrive?,"Express delivery normally takes 1–2 business days after dispatch, subject to destination availability.",express delivery shipping time,Normal,No,delivery,Synthetic e-commerce customer support dataset,4
FAQ011_V1,FAQ011,Delivery,intent_011,Do you deliver on weekends?,Weekend delivery depends on the courier and destination. It is not guaranteed under standard delivery.,weekend saturday sunday courier delivery,Normal,No,delivery,Synthetic e-commerce customer support dataset,1
FAQ011_V2,FAQ011,Delivery,intent_011,Can my parcel be delivered on Saturday or Sunday?,Weekend delivery depends on the courier and destination. It is not guaranteed under standard delivery.,weekend saturday sunday courier delivery,Normal,No,delivery,Synthetic e-commerce customer support dataset,2
FAQ011_V3,FAQ011,Delivery,intent_011,Please help me with this customer issue: Can my parcel be delivered on Saturday or Sunday?,Weekend delivery depends on the courier and destination. It is not guaranteed under standard delivery.,weekend saturday sunday courier delivery,Normal,No,delivery,Synthetic e-commerce customer support dataset,3
FAQ011_V4,FAQ011,Delivery,intent_011,Support question: Can my parcel be delivered on Saturday or Sunday?,Weekend delivery depends on the courier and destination. It is not guaranteed under standard delivery.,weekend saturday sunday courier delivery,Normal,No,delivery,Synthetic e-commerce customer support dataset,4
FAQ012_V1,FAQ012,Delivery,intent_012,Do you ship internationally?,the company ships only to the countries listed during checkout. International availability and charges are shown before payment.,international shipping countries checkout charges,Normal,No,delivery,Synthetic e-commerce customer support dataset,1
FAQ012_V2,FAQ012,Delivery,intent_012,Can the company send orders to another country?,the company ships only to the countries listed during checkout. International availability and charges are shown before payment.,international shipping countries checkout charges,Normal,No,delivery,Synthetic e-commerce customer support dataset,2
FAQ012_V3,FAQ012,Delivery,intent_012,Please help me with this customer issue: Can the company send orders to another country?,the company ships only to the countries listed during checkout. International availability and charges are shown before payment.,international shipping countries checkout charges,Normal,No,delivery,Synthetic e-commerce customer support dataset,3
FAQ012_V4,FAQ012,Delivery,intent_012,Support question: Can the company send orders to another country?,the company ships only to the countries listed during checkout. International availability and charges are shown before payment.,international shipping countries checkout charges,Normal,No,delivery,Synthetic e-commerce customer support dataset,4
FAQ013_V1,FAQ013,Returns,intent_013,What is the return period?,"Eligible products can be returned within 14 calendar days of delivery, provided they meet the return conditions.",return period 14 days eligible send back two weeks unopened within 14 days,Normal,No,return,Synthetic e-commerce customer support dataset,1
FAQ013_V2,FAQ013,Returns,intent_013,How many days do I have to send an eligible item back?,"Eligible products can be returned within 14 calendar days of delivery, provided they meet the return conditions.",return period 14 days eligible send back two weeks unopened within 14 days,Normal,No,return,Synthetic e-commerce customer support dataset,2
FAQ013_V3,FAQ013,Returns,intent_013,Please help me with this customer issue: How many days do I have to send an eligible item back?,"Eligible products can be returned within 14 calendar days of delivery, provided they meet the return conditions.",return period 14 days eligible send back two weeks unopened within 14 days,Normal,No,return,Synthetic e-commerce customer support dataset,3
FAQ013_V4,FAQ013,Returns,intent_013,Support question: How many days do I have to send an eligible item back?,"Eligible products can be returned within 14 calendar days of delivery, provided they meet the return conditions.",return period 14 days eligible send back two weeks unopened within 14 days,Normal,No,return,Synthetic e-commerce customer support dataset,4
FAQ014_V1,FAQ014,Returns,intent_014,Can I return an opened product?,Opened products may be returned only when defective or when the product category explicitly allows opened returns. Other opened items may be rejected.,opened product return defective,High,Yes,return,Synthetic e-commerce customer support dataset,1
FAQ014_V2,FAQ014,Returns,intent_014,Am I allowed to return something after opening the package?,Opened products may be returned only when defective or when the product category explicitly allows opened returns. Other opened items may be rejected.,opened product return defective,High,Yes,return,Synthetic e-commerce customer support dataset,2
FAQ014_V3,FAQ014,Returns,intent_014,Please help me with this customer issue: Am I allowed to return something after opening the package?,Opened products may be returned only when defective or when the product category explicitly allows opened returns. Other opened items may be rejected.,opened product return defective,High,Yes,return,Synthetic e-commerce customer support dataset,3
FAQ014_V4,FAQ014,Returns,intent_014,Support question: Am I allowed to return something after opening the package?,Opened products may be returned only when defective or when the product category explicitly allows opened returns. Other opened items may be rejected.,opened product return defective,High,Yes,return,Synthetic e-commerce customer support dataset,4
FAQ015_V1,FAQ015,Returns,intent_015,How do I start a return?,"Open My Orders, choose the item, select 'Request Return', choose a reason, and follow the return instructions shown in the app.",start return request item reason,Normal,No,return,Synthetic e-commerce customer support dataset,1
FAQ015_V2,FAQ015,Returns,intent_015,What steps do I follow to request a return?,"Open My Orders, choose the item, select 'Request Return', choose a reason, and follow the return instructions shown in the app.",start return request item reason,Normal,No,return,Synthetic e-commerce customer support dataset,2
FAQ015_V3,FAQ015,Returns,intent_015,Please help me with this customer issue: What steps do I follow to request a return?,"Open My Orders, choose the item, select 'Request Return', choose a reason, and follow the return instructions shown in the app.",start return request item reason,Normal,No,return,Synthetic e-commerce customer support dataset,3
FAQ015_V4,FAQ015,Returns,intent_015,Support question: What steps do I follow to request a return?,"Open My Orders, choose the item, select 'Request Return', choose a reason, and follow the return instructions shown in the app.",start return request item reason,Normal,No,return,Synthetic e-commerce customer support dataset,4
FAQ016_V1,FAQ016,Returns,intent_016,Who pays return shipping?,"The support policy covers return shipping for verified defective or incorrect items. For change-of-mind returns, the customer may be responsible for return shipping.",return shipping fee defective incorrect change mind,Normal,No,return,Synthetic e-commerce customer support dataset,1
FAQ016_V2,FAQ016,Returns,intent_016,Do I have to pay the postage when sending a return?,"The support policy covers return shipping for verified defective or incorrect items. For change-of-mind returns, the customer may be responsible for return shipping.",return shipping fee defective incorrect change mind,Normal,No,return,Synthetic e-commerce customer support dataset,2
FAQ016_V3,FAQ016,Returns,intent_016,Please help me with this customer issue: Do I have to pay the postage when sending a return?,"The support policy covers return shipping for verified defective or incorrect items. For change-of-mind returns, the customer may be responsible for return shipping.",return shipping fee defective incorrect change mind,Normal,No,return,Synthetic e-commerce customer support dataset,3
FAQ016_V4,FAQ016,Returns,intent_016,Support question: Do I have to pay the postage when sending a return?,"The support policy covers return shipping for verified defective or incorrect items. For change-of-mind returns, the customer may be responsible for return shipping.",return shipping fee defective incorrect change mind,Normal,No,return,Synthetic e-commerce customer support dataset,4
FAQ017_V1,FAQ017,Refunds,intent_017,How long does a refund take?,"After an approved return is received and inspected, refunds are initiated within 3 business days. Bank processing time may vary.",refund time return bank processing,Normal,No,refund,Synthetic e-commerce customer support dataset,1
FAQ017_V2,FAQ017,Refunds,intent_017,"After my return is accepted, how long until the refund is processed?","After an approved return is received and inspected, refunds are initiated within 3 business days. Bank processing time may vary.",refund time return bank processing,Normal,No,refund,Synthetic e-commerce customer support dataset,2
FAQ017_V3,FAQ017,Refunds,intent_017,"Please help me with this customer issue: After my return is accepted, how long until the refund is processed?","After an approved return is received and inspected, refunds are initiated within 3 business days. Bank processing time may vary.",refund time return bank processing,Normal,No,refund,Synthetic e-commerce customer support dataset,3
FAQ017_V4,FAQ017,Refunds,intent_017,"Support question: After my return is accepted, how long until the refund is processed?","After an approved return is received and inspected, refunds are initiated within 3 business days. Bank processing time may vary.",refund time return bank processing,Normal,No,refund,Synthetic e-commerce customer support dataset,4
FAQ018_V1,FAQ018,Refunds,intent_018,Where will my refund be sent?,Approved refunds are normally sent to the original payment method used for the order.,refund original payment method where refund goes sent destination,Normal,No,refund,Synthetic e-commerce customer support dataset,1
FAQ018_V2,FAQ018,Refunds,intent_018,Which account or payment method receives my refund?,Approved refunds are normally sent to the original payment method used for the order.,refund original payment method where refund goes sent destination,Normal,No,refund,Synthetic e-commerce customer support dataset,2
FAQ018_V3,FAQ018,Refunds,intent_018,Please help me with this customer issue: Which account or payment method receives my refund?,Approved refunds are normally sent to the original payment method used for the order.,refund original payment method where refund goes sent destination,Normal,No,refund,Synthetic e-commerce customer support dataset,3
FAQ018_V4,FAQ018,Refunds,intent_018,Support question: Which account or payment method receives my refund?,Approved refunds are normally sent to the original payment method used for the order.,refund original payment method where refund goes sent destination,Normal,No,refund,Synthetic e-commerce customer support dataset,4
FAQ019_V1,FAQ019,Refunds,intent_019,I have not received my refund yet.,"If the support team has already confirmed the refund and the expected bank-processing period has passed, contact human support with the order number for investigation.",missing refund delayed bank order,High,Yes,refund,Synthetic e-commerce customer support dataset,1
FAQ019_V2,FAQ019,Refunds,intent_019,The refund was confirmed but the money still has not arrived.,"If the support team has already confirmed the refund and the expected bank-processing period has passed, contact human support with the order number for investigation.",missing refund delayed bank order,High,Yes,refund,Synthetic e-commerce customer support dataset,2
FAQ019_V3,FAQ019,Refunds,intent_019,Please help me with this customer issue: The refund was confirmed but the money still has not arrived.,"If the support team has already confirmed the refund and the expected bank-processing period has passed, contact human support with the order number for investigation.",missing refund delayed bank order,High,Yes,refund,Synthetic e-commerce customer support dataset,3
FAQ019_V4,FAQ019,Refunds,intent_019,Support question: The refund was confirmed but the money still has not arrived.,"If the support team has already confirmed the refund and the expected bank-processing period has passed, contact human support with the order number for investigation.",missing refund delayed bank order,High,Yes,refund,Synthetic e-commerce customer support dataset,4
FAQ020_V1,FAQ020,Payments,intent_020,What payment methods do you accept?,"Available payment methods are displayed at checkout and may include supported debit cards, credit cards, and approved digital payment methods.",payment methods card digital checkout,Normal,No,payment,Synthetic e-commerce customer support dataset,1
FAQ020_V2,FAQ020,Payments,intent_020,Which cards or digital payment options can I use?,"Available payment methods are displayed at checkout and may include supported debit cards, credit cards, and approved digital payment methods.",payment methods card digital checkout,Normal,No,payment,Synthetic e-commerce customer support dataset,2
FAQ020_V3,FAQ020,Payments,intent_020,Please help me with this customer issue: Which cards or digital payment options can I use?,"Available payment methods are displayed at checkout and may include supported debit cards, credit cards, and approved digital payment methods.",payment methods card digital checkout,Normal,No,payment,Synthetic e-commerce customer support dataset,3
FAQ020_V4,FAQ020,Payments,intent_020,Support question: Which cards or digital payment options can I use?,"Available payment methods are displayed at checkout and may include supported debit cards, credit cards, and approved digital payment methods.",payment methods card digital checkout,Normal,No,payment,Synthetic e-commerce customer support dataset,4
FAQ021_V1,FAQ021,Payments,intent_021,Do you offer cash on delivery?,"Cash on delivery is available only for eligible locations and orders. If available, it will appear as an option at checkout.",cash on delivery COD checkout pay when package arrives pay on delivery,Normal,No,payment,Synthetic e-commerce customer support dataset,1
FAQ021_V2,FAQ021,Payments,intent_021,Can I pay the courier when my order arrives?,"Cash on delivery is available only for eligible locations and orders. If available, it will appear as an option at checkout.",cash on delivery COD checkout pay when package arrives pay on delivery,Normal,No,payment,Synthetic e-commerce customer support dataset,2
FAQ021_V3,FAQ021,Payments,intent_021,Please help me with this customer issue: Can I pay the courier when my order arrives?,"Cash on delivery is available only for eligible locations and orders. If available, it will appear as an option at checkout.",cash on delivery COD checkout pay when package arrives pay on delivery,Normal,No,payment,Synthetic e-commerce customer support dataset,3
FAQ021_V4,FAQ021,Payments,intent_021,Support question: Can I pay the courier when my order arrives?,"Cash on delivery is available only for eligible locations and orders. If available, it will appear as an option at checkout.",cash on delivery COD checkout pay when package arrives pay on delivery,Normal,No,payment,Synthetic e-commerce customer support dataset,4
FAQ022_V1,FAQ022,Payments,intent_022,Why was my payment declined?,"A payment may be declined by the card issuer, due to incorrect details, limits, or security checks. Verify the details or contact the payment provider.",payment declined card issuer security limit,Normal,No,payment,Synthetic e-commerce customer support dataset,1
FAQ022_V2,FAQ022,Payments,intent_022,My card keeps getting rejected at checkout. Why?,"A payment may be declined by the card issuer, due to incorrect details, limits, or security checks. Verify the details or contact the payment provider.",payment declined card issuer security limit,Normal,No,payment,Synthetic e-commerce customer support dataset,2
FAQ022_V3,FAQ022,Payments,intent_022,Please help me with this customer issue: My card keeps getting rejected at checkout. Why?,"A payment may be declined by the card issuer, due to incorrect details, limits, or security checks. Verify the details or contact the payment provider.",payment declined card issuer security limit,Normal,No,payment,Synthetic e-commerce customer support dataset,3
FAQ022_V4,FAQ022,Payments,intent_022,Support question: My card keeps getting rejected at checkout. Why?,"A payment may be declined by the card issuer, due to incorrect details, limits, or security checks. Verify the details or contact the payment provider.",payment declined card issuer security limit,Normal,No,payment,Synthetic e-commerce customer support dataset,4
FAQ023_V1,FAQ023,Payments,intent_023,I was charged twice for one order.,Duplicate-charge reports require human support review. Keep the order number and payment transaction details available for investigation.,charged twice duplicate payment transaction billing double charge two times,High,Yes,payment,Synthetic e-commerce customer support dataset,1
FAQ023_V2,FAQ023,Payments,intent_023,I can see two charges for a single purchase.,Duplicate-charge reports require human support review. Keep the order number and payment transaction details available for investigation.,charged twice duplicate payment transaction billing double charge two times,High,Yes,payment,Synthetic e-commerce customer support dataset,2
FAQ023_V3,FAQ023,Payments,intent_023,Please help me with this customer issue: I can see two charges for a single purchase.,Duplicate-charge reports require human support review. Keep the order number and payment transaction details available for investigation.,charged twice duplicate payment transaction billing double charge two times,High,Yes,payment,Synthetic e-commerce customer support dataset,3
FAQ023_V4,FAQ023,Payments,intent_023,Support question: I can see two charges for a single purchase.,Duplicate-charge reports require human support review. Keep the order number and payment transaction details available for investigation.,charged twice duplicate payment transaction billing double charge two times,High,Yes,payment,Synthetic e-commerce customer support dataset,4
FAQ024_V1,FAQ024,Payments,intent_024,Is my card information stored by the company?,the company does not expose full card details in the support application. Payment information is handled through approved payment-processing systems.,card data stored payment security,High,Yes,payment,Synthetic e-commerce customer support dataset,1
FAQ024_V2,FAQ024,Payments,intent_024,Does the company keep my complete card number?,the company does not expose full card details in the support application. Payment information is handled through approved payment-processing systems.,card data stored payment security,High,Yes,payment,Synthetic e-commerce customer support dataset,2
FAQ024_V3,FAQ024,Payments,intent_024,Please help me with this customer issue: Does the company keep my complete card number?,the company does not expose full card details in the support application. Payment information is handled through approved payment-processing systems.,card data stored payment security,High,Yes,payment,Synthetic e-commerce customer support dataset,3
FAQ024_V4,FAQ024,Payments,intent_024,Support question: Does the company keep my complete card number?,the company does not expose full card details in the support application. Payment information is handled through approved payment-processing systems.,card data stored payment security,High,Yes,payment,Synthetic e-commerce customer support dataset,4
FAQ025_V1,FAQ025,Products,intent_025,How can I check whether an item is in stock?,The product page shows the current stock status. Availability may change before checkout is completed.,stock availability item product,Normal,No,product,Synthetic e-commerce customer support dataset,1
FAQ025_V2,FAQ025,Products,intent_025,How do I know if a product is currently available?,The product page shows the current stock status. Availability may change before checkout is completed.,stock availability item product,Normal,No,product,Synthetic e-commerce customer support dataset,2
FAQ025_V3,FAQ025,Products,intent_025,Please help me with this customer issue: How do I know if a product is currently available?,The product page shows the current stock status. Availability may change before checkout is completed.,stock availability item product,Normal,No,product,Synthetic e-commerce customer support dataset,3
FAQ025_V4,FAQ025,Products,intent_025,Support question: How do I know if a product is currently available?,The product page shows the current stock status. Availability may change before checkout is completed.,stock availability item product,Normal,No,product,Synthetic e-commerce customer support dataset,4
FAQ026_V1,FAQ026,Products,intent_026,Can I reserve an out-of-stock item?,the company does not currently reserve out-of-stock items. Use the availability notification option when it is offered.,reserve out of stock notification,Normal,No,product,Synthetic e-commerce customer support dataset,1
FAQ026_V2,FAQ026,Products,intent_026,Can you hold an unavailable product for me until it is back?,the company does not currently reserve out-of-stock items. Use the availability notification option when it is offered.,reserve out of stock notification,Normal,No,product,Synthetic e-commerce customer support dataset,2
FAQ026_V3,FAQ026,Products,intent_026,Please help me with this customer issue: Can you hold an unavailable product for me until it is back?,the company does not currently reserve out-of-stock items. Use the availability notification option when it is offered.,reserve out of stock notification,Normal,No,product,Synthetic e-commerce customer support dataset,3
FAQ026_V4,FAQ026,Products,intent_026,Support question: Can you hold an unavailable product for me until it is back?,the company does not currently reserve out-of-stock items. Use the availability notification option when it is offered.,reserve out of stock notification,Normal,No,product,Synthetic e-commerce customer support dataset,4
FAQ027_V1,FAQ027,Products,intent_027,What if I receive the wrong item?,Submit a return request and select 'Wrong item received'. customer support may request photos before arranging the correction.,wrong item received return photo,High,Yes,product,Synthetic e-commerce customer support dataset,1
FAQ027_V2,FAQ027,Products,intent_027,The parcel contains a different item from what I ordered.,Submit a return request and select 'Wrong item received'. customer support may request photos before arranging the correction.,wrong item received return photo,High,Yes,product,Synthetic e-commerce customer support dataset,2
FAQ027_V3,FAQ027,Products,intent_027,Please help me with this customer issue: The parcel contains a different item from what I ordered.,Submit a return request and select 'Wrong item received'. customer support may request photos before arranging the correction.,wrong item received return photo,High,Yes,product,Synthetic e-commerce customer support dataset,3
FAQ027_V4,FAQ027,Products,intent_027,Support question: The parcel contains a different item from what I ordered.,Submit a return request and select 'Wrong item received'. customer support may request photos before arranging the correction.,wrong item received return photo,High,Yes,product,Synthetic e-commerce customer support dataset,4
FAQ028_V1,FAQ028,Products,intent_028,What if an item arrives damaged?,Report damaged items as soon as possible through the order's support option. Photos may be requested and the case may be reviewed by a human agent.,damaged item broken photo support,High,Yes,product,Synthetic e-commerce customer support dataset,1
FAQ028_V2,FAQ028,Products,intent_028,My product was broken when it arrived.,Report damaged items as soon as possible through the order's support option. Photos may be requested and the case may be reviewed by a human agent.,damaged item broken photo support,High,Yes,product,Synthetic e-commerce customer support dataset,2
FAQ028_V3,FAQ028,Products,intent_028,Please help me with this customer issue: My product was broken when it arrived.,Report damaged items as soon as possible through the order's support option. Photos may be requested and the case may be reviewed by a human agent.,damaged item broken photo support,High,Yes,product,Synthetic e-commerce customer support dataset,3
FAQ028_V4,FAQ028,Products,intent_028,Support question: My product was broken when it arrived.,Report damaged items as soon as possible through the order's support option. Photos may be requested and the case may be reviewed by a human agent.,damaged item broken photo support,High,Yes,product,Synthetic e-commerce customer support dataset,4
FAQ029_V1,FAQ029,Warranty,intent_029,Do products have a warranty?,Warranty coverage depends on the product and seller. The applicable warranty information is shown on the product page or order documentation.,warranty coverage seller product,Normal,No,warranty,Synthetic e-commerce customer support dataset,1
FAQ029_V2,FAQ029,Warranty,intent_029,How can I check whether my purchase includes warranty coverage?,Warranty coverage depends on the product and seller. The applicable warranty information is shown on the product page or order documentation.,warranty coverage seller product,Normal,No,warranty,Synthetic e-commerce customer support dataset,2
FAQ029_V3,FAQ029,Warranty,intent_029,Please help me with this customer issue: How can I check whether my purchase includes warranty coverage?,Warranty coverage depends on the product and seller. The applicable warranty information is shown on the product page or order documentation.,warranty coverage seller product,Normal,No,warranty,Synthetic e-commerce customer support dataset,3
FAQ029_V4,FAQ029,Warranty,intent_029,Support question: How can I check whether my purchase includes warranty coverage?,Warranty coverage depends on the product and seller. The applicable warranty information is shown on the product page or order documentation.,warranty coverage seller product,Normal,No,warranty,Synthetic e-commerce customer support dataset,4
